Title,Author,countries,Rank,Genre,first_year_published,Approx. sales (in millions),Bestseller
hunchback of notre dame,Victor Hugo,French,52,history,1831.0,<10,No
pinocchio,Carlo Collodi,,53,gen_fiction,,<10,No
one hundred years of solitude,Gabriel García Márquez,Colombian,54,gen_fiction,1967.0,50-100,Yes
ivanhoe,Walter Scott,British,55,history,1820.0,<10,No
red badge of courage,Stephen Crane,American,56,history,1895.0,<10,No
anne of green gables,L.M. Montgomery,Canadian,57,gen_fiction,1908.0,50-100,Yes
anne of green gables,L.M. Montgomery,Canadian,57,gen_fiction,1987.0,50-100,Yes
black beauty,Anna Sewell,British,58,gen_fiction,1877.0,50-100,Yes
black beauty,Anna Sewell,English,58,gen_fiction,1877.0,50-100,Yes
peter pan,J.M. Barrie,British,59,fantasy,1902.0,<10,No
farewell torms,Ernest Hemingway,American,60,war,1929.0,<10,No
house of seven gables,Nathaniel Hawthorne,American,61,gen_fiction,1851.0,<10,No
lord of flies,William Golding,British,62,gen_fiction,1954.0,<10,No
princend pauper,Mark Twain,American,63,history,1881.0,<10,No
portrait ofrtists young man,James Joyce,Irish,64,bildung,1916.0,<10,No
lord jim,Joseph Conrad,British,65,gen_fiction,1900.0,<10,No
harry potternd chamber of secrets,J.K. Rowling,British,66,fantasy,1998.0,50-100,Yes
rednd black,Stendhal,French,67,bildung,1830.0,<10,No
stranger,Albert Camus,French,68,gen_fiction,1946.0,10-20,Yes
trial,Franz Kafka,Czech,69,allegories,1925.0,<10,No
lady chatterley's lover,D.H. Lawrence,British,70,gen_fiction,1928.0,<10,No
kidnapped,Robert Louis Stevenson,British,71,history,1886.0,<10,No
catcher in rye,J.D. Salinger,American,72,bildung,1951.0,50-100,Yes
fahrenheit 451,Ray Bradbury,American,73,scifi,1953.0,10-20,Yes
journey to center of earth,Jules Verne,French,74,scifi,1864.0,<10,No
vanity fair,William Makepeace Thackeray,British,75,gen_fiction,1848.0,<10,No
all quiet on western front,Erich Maria Remarque,German,76,war,1929.0,<10,No
gone with wind,Margaret Mitchell,American,77,history,1936.0,20-50,Yes
my ántonia,Willa Cather,,78,gen_fiction,,<10,No
of micend men,John Steinbeck,American,79,gen_fiction,1937.0,<10,No
vicar of wakefield,Oliver Goldsmith,British,80,gen_fiction,1766.0,<10,No
connecticut yankee in kingrthur's court,Mark Twain,,81,fantasy,,<10,No
white fang,Jack London,American,82,action,1906.0,<10,No
fathersnd sons,Ivan Sergeevich Turgenev,Russian,83,gen_fiction,1862.0,<10,No
doctor zhivago,Boris Leonidovich Pasternak,Russian,84,history,1957.0,<10,No
decameron,Giovanni Boccaccio,Italian,85,gen_fiction,1350.0,<10,No
nineteen eighty four,George Orwell,British,86,political,1949.0,<10,No
jungle,Upton Sinclair,American,87,political,1906.0,<10,No
dvinci code,Dan Brown,American,88,mystery,2006.0,50-100,Yes
persuasion,Jane Austen,British,89,romance,1818.0,<10,No
mansfield park,Jane Austen,British,90,romance,1814.0,<10,No
candide,Voltaire,French,91,gen_fiction,1759.0,<10,No
for whom bell tolls,Ernest Hemingway,American,92,war,1940.0,<10,No
far from madding crowd,Thomas Hardy,British,93,romance,1874.0,<10,No
lord of rings,J.R.R. Tolkien,British,94,fantasy,1954.0,<10,No
return of native,Thomas Hardy,British,95,romance,1878.0,<10,No
sonsnd lovers,D.H. Lawrence,British,96,gen_fiction,1913.0,<10,No
charlotte's web,E.B. White,American,97,fantasy,1952.0,50-100,Yes
swiss family robinson,Johann David Wyss,,98,gen_fiction,,<10,No
bleak house,Charles Dickens,British,99,gen_fiction,1852.0,<10,No
père goriot,Honoré de Balzac,,100,bildung,,<10,No
utopia,Thomas More,British,101,gen_fiction,1516.0,<10,No
"history of tom jones, foundling",Henry Fielding,,102,gen_fiction,,<10,No
harry potternd prisoner ofzkaban,J.K. Rowling,British,103,fantasy,1999.0,50-100,Yes
kim,Rudyard Kipling,British,104,action,1901.0,<10,No
soundnd fury,William Faulkner,American,105,gen_fiction,1929.0,<10,No
harry potternd goblet of fire,J.K. Rowling,British,106,fantasy,2000.0,50-100,Yes
mill on floss,George Eliot,British,107,gen_fiction,1860.0,<10,No
wrinkle in time,Madeleine L'Engle,American,108,scifi,1962.0,10-20,Yes
hound of baskervilles,Arthur Conan Doyle,British,109,mystery,1901.0,<10,No
lord of rings,J.R.R. Tolkien,British,110,fantasy,1954.0,<10,No
war of worlds,H.G. Wells,British,111,scifi,1898.0,<10,No
middlemarch,George Eliot,British,112,gen_fiction,1871.0,<10,No
age of innocence,Edith Wharton,American,113,gen_fiction,1920.0,<10,No
color purple,Alice Walker,American,114,gen_fiction,1982.0,<10,No
northangerbbey,Jane Austen,English,115,romance,1818.0,<10,No
east of eden,John Steinbeck,American,116,gen_fiction,1952.0,<10,No
on road,Jack Kerouac,American,117,autobio,1957.0,<10,No
catch 22,Joseph Heller,American,118,war,1961.0,10-20,Yes
around world in eighty days,Jules Verne,French,119,action,1873.0,<10,No
hard times,Charles Dickens,American,120,gen_fiction,1970.0,<10,No
hard times,Charles Dickens,British,120,gen_fiction,1854.0,<10,No
beloved,Toni Morrison,American,121,history,1987.0,<10,No
mrs. dalloway,Virginia Woolf,British,122,gen_fiction,1925.0,<10,No
to lighthouse,Virginia Woolf,British,123,gen_fiction,1927.0,<10,No
magician's nephew,C.S. Lewis,British,124,fantasy,1955.0,<10,No
harry potternd order of phoenix,J.K. Rowling,British,125,fantasy,2003.0,50-100,Yes
sunlso rises,Ernest Hemingway,American,126,history,1926.0,<10,No
good earth,Pearl S. Buck,American,127,gen_fiction,1931.0,<10,No
silas marner,George Eliot,British,128,gen_fiction,1861.0,<10,No
love in time of cholera,Gabriel García Márquez,Colombian,129,romance,1985.0,<10,No
rebecca,Daphne Du Maurier,British,130,romance,1938.0,20-50,Yes
jude obscure,Thomas Hardy,British,131,gen_fiction,1895.0,<10,No
twilight,Stephenie Meyer,American,132,romance,2005.0,<10,No
passage to india,E.M. Forster,British,133,political,1924.0,<10,No
plague,Albert Camus,French,134,gen_fiction,1947.0,10-20,Yes
nicholas nickleby,Charles Dickens,British,135,bildung,1838.0,<10,No
pearl,John Steinbeck,American,136,gen_fiction,1947.0,<10,No
ethfrome,Edith Wharton,American,137,gen_fiction,1911.0,<10,No
tale of genji,Murasaki Shikibu,Japanese,138,gen_fiction,1000.0,<10,No
giver,Lois Lowry,American,139,scifi,1993.0,10-20,Yes
alchemist,Paulo Coelho,Brazilian,140,gen_fiction,1988.0,50-100,Yes
strange case of dr. jekyllnd mr. hyde,Robert Louis Stevenson,British,141,gen_fiction,1886.0,<10,No
robinson crusoe,Daniel Defoe,British,142,action,1719.0,<10,No
tender is night,F. Scott Fitzgerald,American,143,gen_fiction,1934.0,<10,No
idiot,Fyodor Dostoyevsky,Russian,144,history,1868.0,<10,No
hatchet,Gary Paulsen,American,145,action,1987.0,<10,No
kite runner,Khaled Hosseini,Afghan,146,bildung,2003.0,20-50,Yes
one flew over cuckoo's nest,Ken Kesey,American,147,gen_fiction,1962.0,<10,No
portrait of lady,Henry James,American,148,gen_fiction,1881.0,<10,No
outsiders,S.E. Hinton,American,149,gen_fiction,1967.0,10-20,Yes
ben hur,Lew Wallace,American,150,history,1880.0,<10,No
mayor of casterbridge,Thomas Hardy,British,151,gen_fiction,1886.0,<10,No
"cry, beloved country",Alan Paton,South African,152,political,1948.0,<10,No
last battle,C.S. Lewis,British,153,fantasy,1956.0,<10,No
captains courageous,Rudyard Kipling,,154,bildung,,<10,No
castle,Franz Kafka,Czech,155,allegories,1926.0,<10,No
metamorphosis,Franz Kafka,Czech,156,gen_fiction,1915.0,<10,No
magic mountain,Thomas Mann,German,157,bildung,1924.0,<10,No
jamesnd giant peach,Roald Dahl,British,158,gen_fiction,1961.0,20-50,Yes
horsend his boy,C.S. Lewis,British,159,fantasy,1954.0,<10,No
angelsnd demons,Dan Brown,,160,thrillers,,20-50,Yes
voyage of dawn treader,C.S. Lewis,British,161,fantasy,1952.0,<10,No
bell jar,Sylvia Plath,American,162,gen_fiction,1963.0,<10,No
women in love,D.H. Lawrence,British,163,gen_fiction,1920.0,<10,No
yearling,Marjorie Kinnan Rawlings,American,164,gen_fiction,1938.0,<10,No
o pioneers!,Willa Cather,American,165,gen_fiction,1913.0,<10,No
handmaid's tale,Margaret Atwood,Canadian,166,gen_fiction,1985.0,<10,No
moonstone,Wilkie Collins,British,167,mystery,1868.0,<10,No
old curiosity shop,Charles Dickens,British,168,gen_fiction,1941.0,<10,No
little dorrit,Charles Dickens,British,169,gen_fiction,1857.0,<10,No
prince caspian,C.S. Lewis,British,170,fantasy,1951.0,<10,No
sister carrie,Theodore Dreiser,American,171,gen_fiction,1900.0,<10,No
silver chair,C.S. Lewis,British,172,fantasy,1953.0,<10,No
hunger games,Suzanne Collins,American,173,scifi,2008.0,20-50,Yes
this side of paradise,F. Scott Fitzgerald,American,174,bildung,1920.0,<10,No
eugénie grandet,Honoré de Balzac,,175,allegories,,<10,No
of humbondage,W. Somerset Maugham,British,176,bildung,1915.0,<10,No
dream of red chamber,Cao Xueqin,Chinese,177,gen_fiction,1791.0,>100,Yes
life of pi,Yann Martel,Canadian,178,gen_fiction,2001.0,10-20,Yes
harry potternd deathly hallows,J.K. Rowling,British,179,fantasy,2007.0,50-100,Yes
invisible man,Ralph Ellison,American,180,gen_fiction,1952.0,<10,No
invisible man,Ralph Ellison,British,180,gen_fiction,1897.0,<10,No
steppenwolf,Hermann Hesse,German,181,gen_fiction,1927.0,<10,No
sorrows of young werther,Johann Wolfgang von Goethe,German,182,autobio,1774.0,<10,No
bridge to terabithia,Katherine Paterson,American,183,fantasy,1977.0,<10,No
invisible man,H.G. Wells,American,184,gen_fiction,1952.0,<10,No
invisible man,H.G. Wells,British,184,gen_fiction,1897.0,<10,No
holes,Louis Sachar,American,185,gen_fiction,1998.0,<10,No
siddhartha,Hermann Hesse,German,186,gen_fiction,1922.0,<10,No
tree grows in brooklyn,Betty Smith,American,187,gen_fiction,1943.0,<10,No
"through looking glass,nd whatlice foundre",Lewis Carroll,,188,fantasy,,<10,No
in cold blood,Truman Capote,American,189,gen_fiction,1966.0,<10,No
house of spirits,Isabel Allende,Chilean,190,gen_fiction,1982.0,<10,No
adam bede,George Eliot,British,191,romance,1859.0,<10,No
betrothed,Alessandro Manzoni,Italian,192,history,1842.0,<10,No
book thief,Markus Zusak,German,193,history,2005.0,10-20,Yes
their eyes were watching god,Zora Neale Hurston,American,194,gen_fiction,1937.0,<10,No
one day in life of ivdenisovich,Aleksandr Isaevich Solzhenitsyn,Russian,195,gen_fiction,1962.0,<10,No
sewolf,Jack London,American,196,gen_fiction,1904.0,<10,No
catching fire,Suzanne Collins,,197,scifi,,20-50,Yes
"roll of thunder, hear my cry",Mildred D. Taylor,American,198,history,1976.0,<10,No
death comes forrchbishop,Willa Cather,American,199,history,1927.0,<10,No
house of mirth,Edith Wharton,American,200,gen_fiction,1905.0,<10,No
light inugust,William Faulkner,American,201,gen_fiction,1932.0,<10,No
pickwick papers,Charles Dickens,British,202,gen_fiction,1837.0,<10,No
remembrance of things past,Marcel Proust,,203,autobio,,<10,No
barchester towersnd warden,Anthony Trollope,,204,gen_fiction,,<10,No
bridge of sluis rey,Thornton Wilder,American,205,history,1927.0,<10,No
help,Kathryn Stockett,American,206,history,2009.0,10-20,Yes
murder on orient express,Agatha Christie,British,207,mystery,1934.0,<10,No
lovely bones,Alice Sebold,American,208,gen_fiction,2002.0,10-20,Yes
appeal,John Grisham,,209,gen_fiction,,<10,No
dombeynd son,Charles Dickens,British,210,gen_fiction,1848.0,<10,No
slaughterhouse five,Kurt Vonnegut,American,211,scifi,1969.0,<10,No
anmerictragedy,Theodore Dreiser,American,212,romance,1925.0,<10,No
bluest eye,Toni Morrison,American,213,bildung,1970.0,<10,No
little house in big woods,Laura Ingalls Wilder,American,214,history,2005.0,<10,No
pippi longstocking,Astrid Lindgren,Swedish,215,gen_fiction,1945.0,<10,No
germinal,Émile Zola,French,216,political,1885.0,<10,No
heart is lonely hunter,Carson McCullers,American,217,gen_fiction,1940.0,<10,No
womin white,Wilkie Collins,British,218,gen_fiction,1860.0,<10,No
"absalom,bsalom!",William Faulkner,American,219,gen_fiction,1936.0,<10,No
painted house,John Grisham,,220,gen_fiction,,<10,No
girl with dragon tattoo,Stieg Larsson,Swedish,221,thrillers,2005.0,20-50,Yes
room with view,E.M. Forster,British,222,gen_fiction,1908.0,<10,No
watership down,Richard Adams,British,223,allegories,1972.0,50-100,Yes
memoirs of geisha,Arthur Golden,American,224,history,1997.0,<10,No
our mutual friend,Charles Dickens,British,225,romance,1865.0,<10,No
babbitt,Sinclair Lewis,American,226,gen_fiction,1922.0,<10,No
red pony,John Steinbeck,,227,bildung,,<10,No
all king's men,Robert Penn Warren,American,228,political,1946.0,<10,No
things fallpart,Chinua Achebe,Nigerian,229,history,1958.0,20-50,Yes
things fallpart,Chinua Achebe,Nigerian,229,history,1958.0,20-50,Yes
lorndoone,R.D. Blackmore,,230,history,,<10,No
johnny tremain,Esther Forbes,,231,history,,<10,No
anne ofvonlea,L.M. Montgomery,,232,gen_fiction,,<10,No
tuck everlasting,Natalie Babbitt,,233,fantasy,,<10,No
bfg,Roald Dahl,British,234,gen_fiction,1982.0,<10,No
cannery row,John Steinbeck,American,235,romance,1945.0,<10,No
joy luck club,Amy Tan,American,236,gen_fiction,1989.0,<10,No
silmarillion,J.R.R. Tolkien,,237,fantasy,,<10,No
roots,Alex Haley,American,238,gen_fiction,1977.0,<10,No
little house on prairie,Laura Ingalls Wilder,American,239,autobio,1935.0,<10,No
native son,Richard Wright,American,240,gen_fiction,1940.0,<10,No
stuart little,E.B. White,,241,action,,<10,No
cross fire,James Patterson,,242,gen_fiction,,<10,No
powernd glory,Graham Greene,British,243,mystery,1940.0,<10,No
clockwork orange,Anthony Burgess,British,244,scifi,1962.0,<10,No
phantom of opera,Gaston Leroux,French,245,horror,1909.0,<10,No
martichronicles,Ray Bradbury,American,246,scifi,1950.0,<10,No
road,Cormac McCarthy,American,247,gen_fiction,2006.0,<10,No
way ofll flesh,Samuel Butler,British,248,gen_fiction,1903.0,<10,No
diary of wimpy kid,Jeff Kinney,American,249,gen_fiction,2007.0,<10,No
villette,Charlotte Brontë,British,250,gen_fiction,1853.0,<10,No
curious incident of dog in night time,Mark Haddon,British,251,mystery,2003.0,<10,No
mysterious island,Jules Verne,,252,scifi,,<10,No
song of solomon,Toni Morrison,American,253,gen_fiction,1977.0,<10,No
nana,Émile Zola,French,254,gen_fiction,1880.0,<10,No
quo vadis,Henryk Sienkiewicz,Polish,255,history,1896.0,<10,No
main street,Sinclair Lewis,American,256,gen_fiction,1920.0,<10,No
matilda,Roald Dahl,British,257,gen_fiction,1988.0,10-20,Yes
lolita,Vladimir Vladimirovich Nabokov,American,258,romance,1955.0,50-100,Yes
paper towns,John Green,,259,bildung,,<10,No
sounder,William H. Armstrong,,260,gen_fiction,,<10,No
"are youre god? it's me, margaret",Judy Blume,American,261,gen_fiction,1970.0,<10,No
notebook,Nicholas Sparks,American,262,romance,1996.0,<10,No
notebook,Nicholas Sparks,Hungarian,262,romance,1986.0,<10,No
from mixed up files of mrs. basil e. frankweiler,E.L. Konigsburg,,263,gen_fiction,,<10,No
atlas shrugged,Ayn Rand,American,264,scifi,1957.0,<10,No
fountainhead,Ayn Rand,American,265,gen_fiction,1943.0,<10,No
number stars,Lois Lowry,,266,history,,<10,No
firm,John Grisham,,267,gen_fiction,,<10,No
swann's way,Marcel Proust,,268,autobio,,<10,No
ender's game,Orson Scott Card,American,269,scifi,1980.0,<10,No
name of rose,Umberto Eco,Italian,270,history,1980.0,50-100,Yes
time to kill,John Grisham,,271,gen_fiction,,<10,No
water for elephants,Sara Gruen,,272,romance,,<10,No
time machine,H.G. Wells,British,273,scifi,1895.0,<10,No
time machine,H.G. Wells,British,273,scifi,1895.0,<10,No
eragon,Christopher Paolini,,274,fantasy,,<10,No
hitchhiker's guide to galaxy,Douglas Adams,British,275,scifi,1979.0,10-20,Yes
buddenbrooks,Thomas Mann,German,276,gen_fiction,1901.0,<10,No
thousand splendid suns,Khaled Hosseini,Afghan,277,gen_fiction,2007.0,<10,No
witch of blackbird pond,Elizabeth George Speare,,278,gen_fiction,,<10,No
andnre were none,Agatha Christie,British,279,mystery,1939.0,>100,Yes
separate peace,John Knowles,American,280,history,1959.0,<10,No
breaking dawn,Stephenie Meyer,,281,romance,,<10,No
as i lay dying,William Faulkner,American,282,gen_fiction,1930.0,<10,No
girl who played with fire,Stieg Larsson,,283,thrillers,,<10,No
where red fern grows,Wilson Rawls,American,284,bildung,1961.0,<10,No
le morte d'arthur,Thomas Malory,British,285,gen_fiction,1485.0,<10,No
mockingjay,Suzanne Collins,,286,scifi,,20-50,Yes
pillars of earth,Ken Follett,British,287,history,1989.0,10-20,Yes
persiletters,Montesquieu,,288,gen_fiction,,<10,No
client,John Grisham,,289,gen_fiction,,<10,No
sula,Toni Morrison,American,290,gen_fiction,1973.0,<10,No
tales of fourth grade nothing,Judy Blume,,291,gen_fiction,,<10,No
merrydventures of robin hood of great renown in nottinghamshire,Howard Pyle,,292,gen_fiction,,<10,No
tortillflat,John Steinbeck,,293,gen_fiction,,<10,No
"look homeward,ngel",Thomas Wolfe,American,294,gen_fiction,1929.0,<10,No
mystery of edwin drood,Charles Dickens,,295,gen_fiction,,<10,No
brideshead revisited,Evelyn Waugh,British,296,gen_fiction,1945.0,<10,No
pelicbrief,John Grisham,,297,mystery,,<10,No
atonement,Ian McEwan,British,298,gen_fiction,2001.0,<10,No
washington square,Henry James,,299,gen_fiction,,<10,No
like water for chocolate,Laura Esquivel,Mexican,300,romance,1989.0,<10,No
golden compass,Philip Pullman,British,301,gen_fiction,1995.0,<10,No
secret life of bees,Sue Monk Kidd,,302,gen_fiction,,<10,No
fault in our stars,John Green,American,303,romance,2012.0,20-50,Yes
nostromo,Joseph Conrad,British,304,political,1904.0,<10,No
finnegans wake,James Joyce,Irish,305,gen_fiction,1939.0,<10,No
brethren,John Grisham,,306,thrillers,,<10,No
coraline,Neil Gaiman,British,307,gen_fiction,2002.0,<10,No
heart of darkness,Joseph Conrad,British,308,gen_fiction,1899.0,<10,No
on banks of plum creek,Laura Ingalls Wilder,,309,autobio,,<10,No
rebeccof sunnybrook farm,Kate Douglas Smith Wiggin,,310,gen_fiction,,<10,No
ambassadors,Henry James,American,311,gen_fiction,1903.0,<10,No
secretgent,Joseph Conrad,British,312,political,1907.0,<10,No
house on mango street,Sandra Cisneros,American,313,bildung,1984.0,<10,No
go tell it on mountain,James Baldwin,American,314,bildung,1953.0,<10,No
testament,John Grisham,,315,thrillers,,<10,No
clof cave bear,Jean M. Auel,American,316,history,1980.0,<10,No
cranford,Elizabeth Cleghorn Gaskell,British,317,gen_fiction,1851.0,<10,No
because of winn dixie,Kate DiCamillo,,318,gen_fiction,,<10,No
my side of mountain,Jean Craighead George,,319,gen_fiction,,<10,No
runaway jury,John Grisham,,320,thrillers,,<10,No
mousend motorcycle,Beverly Cleary,,321,gen_fiction,,<10,No
lost symbol,Dan Brown,,322,thrillers,,20-50,Yes
forsyte saga,John Galsworthy,British,323,gen_fiction,1922.0,<10,No
gone girl,Gillian Flynn,American,324,thrillers,2012.0,20-50,Yes
lightning thief,Rick Riordan,,325,fantasy,,<10,No
last days of pompeii,Edward Bulwer Lytton,,326,history,,<10,No
reader,Bernhard Schlink,German,327,gen_fiction,1995.0,<10,No
caddie woodlawn,Carol Ryrie Brink,,328,gen_fiction,,<10,No
tale of despereaux,Kate DiCamillo,,329,gen_fiction,,<10,No
girl who kicked hornet's nest,Stieg Larsson,,330,thrillers,,<10,No
dear mr. henshaw,Beverly Cleary,,331,gen_fiction,,<10,No
killerngels,Michael Shaara,American,332,history,1974.0,<10,No
chronicle of death foretold,Gabriel García Márquez,Colombian,333,gen_fiction,1981.0,<10,No
five people you meet in heaven,Mitch Albom,,334,gen_fiction,,<10,No
masternd margarita,Mikhail Bulgakov,Russian,335,political,1966.0,<10,No
"winesburg, ohio",Sherwood Anderson,American,336,gen_fiction,1919.0,<10,No
"""p"" is for peril",Sue Grafton,,337,mystery,,<10,No
my sister's keeper,Jodi Picoult,,338,gen_fiction,,<10,No
barnaby rudge,Charles Dickens,,339,political,,<10,No
howards end,E.M. Forster,British,340,gen_fiction,1910.0,<10,No
broker,John Grisham,,341,thrillers,,<10,No
camel club,David Baldacci,,342,political,,<10,No
rainbow,D.H. Lawrence,British,343,gen_fiction,1915.0,<10,No
min iron mask,Alexandre Dumas,,344,history,,<10,No
mary poppins,P.L. Travers,English,345,fantasy,1998.0,<10,No
artemis fowl,Eoin Colfer,Irish,346,fantasy,2001.0,<10,No
dear john,Nicholas Sparks,,347,romance,,<10,No
cold mountain,Charles Frazier,American,348,romance,1997.0,<10,No
flowers forlgernon,Daniel Keyes,American,349,gen_fiction,1966.0,<10,No
dark is rising,Susan Cooper,British,350,fantasy,2002.0,<10,No
resurrection,Leo Tolstoy,Russian,351,gen_fiction,1899.0,<10,No
fearless fourteen,Janet Evanovich,,352,mystery,,<10,No
sentimental journey through francend italy,Laurence Sterne,British,353,gen_fiction,1768.0,<10,No
king of torts,John Grisham,,354,thrillers,,<10,No
graveyard book,Neil Gaiman,British,355,gen_fiction,2008.0,<10,No
quietmerican,Graham Greene,British,356,political,1955.0,<10,No
chamber,John Grisham,,357,gen_fiction,,<10,No
english patient,Michael Ondaatje,Canadian,358,history,1992.0,<10,No
snow falling on cedars,David Guterson,American,359,gen_fiction,1994.0,<10,No
long winter,Laura Ingalls Wilder,,360,autobio,,<10,No
"sarah, plainnd tall",Patricia MacLachlan,American,361,gen_fiction,1985.0,<10,No
cross country,James Patterson,,362,thrillers,,<10,No
spy who came in from cold,John Le Carré,British,363,gen_fiction,1963.0,<10,No
game of thrones,George R.R. Martin,American,364,fantasy,1996.0,<10,No
thorn birds,Colleen McCullough,Australian,365,gen_fiction,1977.0,20-50,Yes
old yeller,Fred Gipson,,366,bildung,,<10,No
"ramonquimby,ge 8",Beverly Cleary,,367,gen_fiction,,<10,No
death in venice,Thomas Mann,German,368,gen_fiction,1912.0,<10,No
by shores of silver lake,Laura Ingalls Wilder,,369,autobio,,<10,No
inferno,Dan Brown,,370,thrillers,,<10,No
schindler's list,Thomas Keneally,Australian,371,gen_fiction,1982.0,<10,No
jonathlivingston seagull,Richard Bach,American,372,allegories,1970.0,20-50,Yes
stand,Stephen King,American,373,horror,1978.0,<10,No
last juror,John Grisham,,374,thrillers,,<10,No
shiloh,Phyllis Reynolds Naylor,,375,gen_fiction,,<10,No
girl with pearl earring,Tracy Chevalier,,376,gen_fiction,,<10,No
murder of rogerckroyd,Agatha Christie,British,377,mystery,1926.0,<10,No
it,Stephen King,American,378,horror,1986.0,<10,No
rainmaker,John Grisham,,379,gen_fiction,,<10,No
poisonwood bible,Barbara Kingsolver,American,380,gen_fiction,1998.0,<10,No
indiin cupboard,Lynne Reid Banks,,381,fantasy,,<10,No
maltese falcon,Dashiell Hammett,American,382,mystery,1930.0,<10,No
warden,Anthony Trollope,British,383,gen_fiction,1855.0,<10,No
summons,John Grisham,,384,thrillers,,<10,No
encyclopedibrown,Donald J.  Sobol,,385,mystery,,<10,No
time traveler's wife,Audrey Niffenegger,American,386,gen_fiction,2003.0,<10,No
incredible journey,Sheila Burnford,,387,action,,<10,No
daughter of fortune,Isabel Allende,,388,romance,,<10,No
shirley,Charlotte Brontë,,389,history,,<10,No
"bud, not buddy",Christopher Paul Curtis,,390,history,,<10,No
horse whisperer,Nicholas Evans,British,391,gen_fiction,1995.0,10-20,Yes
street lawyer,John Grisham,,392,thrillers,,<10,No
nausea,Jean-Paul Sartre,French,393,gen_fiction,1938.0,<10,No
to havend have not,Ernest Hemingway,,394,action,,<10,No
bridges of madison county,Robert James Waller,,395,romance,,50-100,Yes
anne of island,L.M. Montgomery,,396,gen_fiction,,<10,No
winter of our discontent,John Steinbeck,,397,gen_fiction,,<10,No
shining,Stephen King,American,398,horror,1977.0,<10,No
